date,site_code,discharge_cfs
2015-01-01T00:00:00.000,01010000,1870.0
2015-01-02T00:00:00.000,01010000,1680.0
2015-01-03T00:00:00.000,01010000,1530.0
2015-01-04T00:00:00.000,01010000,1420.0
2015-01-05T00:00:00.000,01010000,1330.0
2015-01-06T00:00:00.000,01010000,1270.0
2015-01-07T00:00:00.000,01010000,1220.0
2015-01-08T00:00:00.000,01010000,1180.0
2015-01-09T00:00:00.000,01010000,1150.0
2015-01-10T00:00:00.000,01010000,1130.0
2015-01-11T00:00:00.000,01010000,1110.0
2015-01-12T00:00:00.000,01010000,1080.0
2015-01-13T00:00:00.000,01010000,1060.0
2015-01-14T00:00:00.000,01010000,1040.0
2015-01-15T00:00:00.000,01010000,1010.0
2015-01-16T00:00:00.000,01010000,991.0
2015-01-17T00:00:00.000,01010000,975.0
2015-01-18T00:00:00.000,01010000,962.0
2015-01-19T00:00:00.000,01010000,995.0
2015-01-20T00:00:00.000,01010000,1140.0
2015-01-21T00:00:00.000,01010000,1460.0
2015-01-22T00:00:00.000,01010000,1480.0
2015-01-23T00:00:00.000,01010000,1370.0
2015-01-24T00:00:00.000,01010000,1240.0
2015-01-25T00:00:00.000,01010000,1120.0
2015-01-26T00:00:00.000,01010000,1010.0
2015-01-27T00:00:00.000,01010000,918.0
2015-01-28T00:00:00.000,01010000,849.0
2015-01-29T00:00:00.000,01010000,795.0
2015-01-30T00:00:00.000,01010000,754.0
2015-01-31T00:00:00.000,01010000,714.0
2015-02-01T00:00:00.000,01010000,679.0
2015-02-02T00:00:00.000,01010000,647.0
2015-02-03T00:00:00.000,01010000,619.0
2015-02-04T00:00:00.000,01010000,588.0
2015-02-05T00:00:00.000,01010000,562.0
2015-02-06T00:00:00.000,01010000,536.0
2015-02-07T00:00:00.000,01010000,512.0
2015-02-08T00:00:00.000,01010000,489.0
2015-02-09T00:00:00.000,01010000,470.0
2015-02-10T00:00:00.000,01010000,452.0
2015-02-11T00:00:00.000,01010000,434.0
2015-02-12T00:00:00.000,01010000,418.0
2015-02-13T00:00:00.000,01010000,404.0
2015-02-14T00:00:00.000,01010000,391.0
2015-02-15T00:00:00.000,01010000,379.0
2015-02-16T00:00:00.000,01010000,368.0
2015-02-17T00:00:00.000,01010000,357.0
2015-02-18T00:00:00.000,01010000,348.0
2015-02-19T00:00:00.000,01010000,337.0
2015-02-20T00:00:00.000,01010000,329.0
2015-02-21T00:00:00.000,01010000,321.0
2015-02-22T00:00:00.000,01010000,313.0
2015-02-23T00:00:00.000,01010000,305.0
2015-02-24T00:00:00.000,01010000,298.0
2015-02-25T00:00:00.000,01010000,292.0
2015-02-26T00:00:00.000,01010000,286.0
2015-02-27T00:00:00.000,01010000,280.0
2015-02-28T00:00:00.000,01010000,275.0
2015-03-01T00:00:00.000,01010000,269.0
2015-03-02T00:00:00.000,01010000,265.0
2015-03-03T00:00:00.000,01010000,260.0
2015-03-04T00:00:00.000,01010000,256.0
2015-03-05T00:00:00.000,01010000,251.0
2015-03-06T00:00:00.000,01010000,247.0
2015-03-07T00:00:00.000,01010000,242.0
2015-03-08T00:00:00.000,01010000,238.0
2015-03-09T00:00:00.000,01010000,235.0
2015-03-10T00:00:00.000,01010000,231.0
2015-03-11T00:00:00.000,01010000,228.0
2015-03-12T00:00:00.000,01010000,225.0
2015-03-13T00:00:00.000,01010000,221.0
2015-03-14T00:00:00.000,01010000,219.0
2015-03-15T00:00:00.000,01010000,216.0
2015-03-16T00:00:00.000,01010000,213.0
2015-03-17T00:00:00.000,01010000,210.0
2015-03-18T00:00:00.000,01010000,208.0
2015-03-19T00:00:00.000,01010000,205.0
2015-03-20T00:00:00.000,01010000,203.0
2015-03-21T00:00:00.000,01010000,201.0
2015-03-22T00:00:00.000,01010000,199.0
2015-03-23T00:00:00.000,01010000,197.0
2015-03-24T00:00:00.000,01010000,196.0
2015-03-25T00:00:00.000,01010000,194.0
2015-03-26T00:00:00.000,01010000,192.0
2015-03-27T00:00:00.000,01010000,191.0
2015-03-28T00:00:00.000,01010000,190.0
2015-03-29T00:00:00.000,01010000,189.0
2015-03-30T00:00:00.000,01010000,189.0
2015-03-31T00:00:00.000,01010000,188.0
2015-04-01T00:00:00.000,01010000,188.0
2015-04-02T00:00:00.000,01010000,186.0
2015-04-03T00:00:00.000,01010000,187.0
2015-04-04T00:00:00.000,01010000,190.0
2015-04-05T00:00:00.000,01010000,195.0
2015-04-06T00:00:00.000,01010000,207.0
2015-04-07T00:00:00.000,01010000,225.0
2015-04-08T00:00:00.000,01010000,248.0
2015-04-09T00:00:00.000,01010000,279.0
2015-04-10T00:00:00.000,01010000,320.0
2015-04-11T00:00:00.000,01010000,383.0
2015-04-12T00:00:00.000,01010000,498.0
2015-04-13T00:00:00.000,01010000,721.0
2015-04-14T00:00:00.000,01010000,1250.0
