date,streamflow_cfs
2023-08-21,7210.0
2023-08-22,7610.0
2023-08-23,6140.0
2023-08-24,4620.0
2023-08-25,4730.0
2023-08-26,7330.0
2023-08-27,8230.0
2023-08-28,8660.0
2023-08-29,8260.0
2023-08-30,7190.0
2023-08-31,7600.0
2023-09-01,9650.0
2023-09-02,9380.0
2023-09-03,7900.0
2023-09-04,7540.0
2023-09-05,6760.0
2023-09-06,6940.0
2023-09-07,5880.0
2023-09-08,7050.0
2023-09-09,8180.0
2023-09-10,8820.0
2023-09-11,7880.0
2023-09-12,8580.0
2023-09-13,4860.0
2023-09-14,6130.0
2023-09-15,6780.0
2023-09-16,5800.0
2023-09-17,6040.0
2023-09-18,5510.0
2023-09-19,6000.0
2023-09-20,5440.0
2023-09-21,5530.0
2023-09-22,7800.0
2023-09-23,6200.0
2023-09-24,6990.0
2023-09-25,8380.0
2023-09-26,11000.0
2023-09-27,9060.0
2023-09-28,8610.0
2023-09-29,7790.0
2023-09-30,7640.0
2023-10-01,8850.0
2023-10-02,10200.0
2023-10-03,9910.0
2023-10-04,10400.0
2023-10-05,9420.0
2023-10-06,10100.0
2023-10-07,10400.0
2023-10-08,11100.0
2023-10-09,12100.0
2023-10-10,12200.0
2023-10-11,12500.0
2023-10-12,15600.0
2023-10-13,18100.0
2023-10-14,16600.0
2023-10-15,14400.0
2023-10-16,13400.0
2023-10-17,14300.0
2023-10-18,14800.0
2023-10-19,16600.0
2023-10-20,15800.0
2023-10-21,15300.0
2023-10-22,13400.0
2023-10-23,14200.0
2023-10-24,14200.0
2023-10-25,15700.0
2023-10-26,15100.0
2023-10-27,15700.0
2023-10-28,15200.0
2023-10-29,14100.0
2023-10-30,13400.0
2023-10-31,13200.0
2023-11-01,12300.0
2023-11-02,13300.0
2023-11-03,14900.0
2023-11-04,18100.0
2023-11-05,25500.0
2023-11-06,35800.0
2023-11-07,48700.0
2023-11-08,51000.0
2023-11-09,43500.0
2023-11-10,35400.0
2023-11-11,29800.0
2023-11-12,26800.0
2023-11-13,25300.0
2023-11-14,23800.0
2023-11-15,21200.0
2023-11-16,19900.0
2023-11-17,18800.0
2023-11-18,18600.0
2023-11-19,17600.0
2023-11-20,17800.0
2023-11-21,18400.0
2023-11-22,19900.0
2023-11-23,19800.0
2023-11-24,18900.0
2023-11-25,17700.0
2023-11-26,17400.0
2023-11-27,17000.0
2023-11-28,17000.0
2023-11-29,15300.0
2023-11-30,15200.0
2023-12-01,14700.0
2023-12-02,18200.0
2023-12-03,37300.0
2023-12-04,77200.0
2023-12-05,101000.0
2023-12-06,112000.0
2023-12-07,114000.0
2023-12-08,109000.0
2023-12-09,102000.0
2023-12-10,105000.0
2023-12-11,113000.0
2023-12-12,111000.0
2023-12-13,106000.0
2023-12-14,94600.0
2023-12-15,82100.0
2023-12-16,71200.0
2023-12-17,60900.0
2023-12-18,51900.0
2023-12-19,46200.0
2023-12-20,42300.0
2023-12-21,38400.0
2023-12-22,35600.0
2023-12-23,33100.0
2023-12-24,29600.0
2023-12-25,26600.0
2023-12-26,27000.0
2023-12-27,30400.0
2023-12-28,30000.0
2023-12-29,30500.0
2023-12-30,29700.0
2023-12-31,29500.0
